CODE,NAME,YEAR,AVG_COVERAGE,AVG_INCIDENCE,HOTSPOT
DNK,Denmark,1980.0,94.66666666666667,1296.92,True
DNK,Denmark,1981.0,93.66666666666667,1562.7599999999998,True
BRN,Brunei Darussalam,1981.0,94.71428571428571,811.58,True
WLF,Wallis and Futuna,1982.0,85.5,1791.6,True
DNK,Denmark,1982.0,93.66666666666667,663.88,True
KNA,Saint Kitts and Nevis,1982.0,93.14285714285714,653.62,True
KNA,Saint Kitts and Nevis,1983.0,91.28571428571429,2626.7400000000002,True
DNK,Denmark,1983.0,92.55555555555556,1373.64,True
SYC,Seychelles,1983.0,97.83333333333333,994.75,True
DNK,Denmark,1984.0,91.88888888888889,960.7599999999999,True
SRB,Serbia,1984.0,88.0,634.74,True
SRB,Serbia,1985.0,88.75,739.54,True
DNK,Denmark,1986.0,92.875,962.0600000000001,True
SRB,Serbia,1986.0,88.75,436.36,True
SAU,Saudi Arabia,1987.0,86.54545454545455,647.1200000000001,True
OMN,Oman,1987.0,88.85714285714286,508.88,True
CPV,Cabo Verde,1987.0,89.07692307692308,411.9,True
DNK,Denmark,1987.0,89.63636363636364,357.86,True
SRB,Serbia,1987.0,89.75,337.76,True
FJI,Fiji,1987.0,86.0,289.12,True
OMN,Oman,1988.0,90.125,765.3399999999999,True
CHL,Chile,1988.0,96.5,699.3,True
SWZ,Eswatini,1988.0,85.53846153846153,568.4399999999999,True
ITA,Italy,1988.0,85.0,357.8,True
JOR,Jordan,1988.0,85.15384615384616,304.04,True
ESP,Spain,1988.0,90.36363636363636,239.12499999999997,True
LSO,Lesotho,1988.0,85.03333333333333,222.44000000000005,True
MWI,Malawi,1989.0,85.875,10145.8,True
ALB,Albania,1989.0,95.15384615384616,8363.68,True
COK,Cook Islands,1989.0,93.15384615384616,8162.06,True
VGB,British Virgin Islands,1989.0,96.875,2213.44,True
BEL,Belgium,1989.0,87.63636363636364,1631.3,True
OMN,Oman,1989.0,95.125,511.98,True
JAM,Jamaica,1989.0,85.84615384615384,485.0200000000001,True
SRB,Serbia,1989.0,89.75,448.66,True
ESP,Spain,1989.0,95.0909090909091,423.925,True
SWZ,Eswatini,1989.0,86.0,361.22,True
PRT,Portugal,1989.0,90.64285714285714,242.48000000000002,True
MNG,Mongolia,1989.0,86.23076923076923,205.64000000000001,True
CHL,Chile,1989.0,95.0,200.92000000000002,True
COM,Comoros,1990.0,90.6875,1309.125,True
VGB,British Virgin Islands,1990.0,99.0,1146.1399999999999,True
TJK,Tajikistan,1990.0,90.57142857142857,484.23333333333335,True
KNA,Saint Kitts and Nevis,1990.0,97.76923076923077,395.71999999999997,True
AIA,Anguilla,1990.0,99.0,357.18,True
SWZ,Eswatini,1990.0,86.8125,341.12,True
JAM,Jamaica,1990.0,87.35714285714286,307.84,True
POL,Poland,1990.0,96.07142857142857,298.66,True
TKM,Turkmenistan,1990.0,85.5,272.1333333333334,True
MDA,Republic of Moldova,1990.0,93.66666666666667,263.16666666666663,True
ESP,Spain,1990.0,93.72727272727273,203.275,True
PAN,Panama,1990.0,87.0,156.4,True
NIU,Niue,1991.0,99.58823529411765,9869.5,True
COK,Cook Islands,1991.0,86.875,704.8,True
FRA,France,1991.0,86.6470588235294,684.875,True
CRI,Costa Rica,1991.0,89.46666666666667,394.48,True
ARG,Argentina,1991.0,93.61538461538461,267.71999999999997,True
QAT,Qatar,1991.0,88.4375,248.87999999999997,True
AZE,Azerbaijan,1991.0,91.54545454545455,173.6,True
ESP,Spain,1991.0,86.84615384615384,167.68,True
RWA,Rwanda,1991.0,90.3125,158.56,True
BTN,Bhutan,1991.0,88.3125,151.4,True
MWI,Malawi,1991.0,85.0,149.3,True
MCO,Monaco,1992.0,98.0,1295.05,True
