GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE,BASE
COUNTRIES,NZL,New Zealand,2023.0,BCG,BCG,ADMIN,Administrative coverage,60778.0,7929.0,13.05,BCG
COUNTRIES,FJI,Fiji,2023.0,BCG,BCG,ADMIN,Administrative coverage,13424.0,5079.0,37.84,BCG
COUNTRIES,PNG,Papua New Guinea,2023.0,BCG,BCG,ADMIN,Administrative coverage,353333.0,152537.0,43.17,BCG
COUNTRIES,SDN,Sudan,2023.0,BCG,BCG,ADMIN,Administrative coverage,2042361.0,1007685.0,49.34,BCG
COUNTRIES,PRK,Democratic People's Republic of Korea,2023.0,BCG,BCG,ADMIN,Administrative coverage,305384.0,191081.0,62.57,BCG
COUNTRIES,LSO,Lesotho,2023.0,BCG,BCG,ADMIN,Administrative coverage,32702.0,20755.0,63.47,BCG
COUNTRIES,YEM,Yemen,2023.0,BCG,BCG,ADMIN,Administrative coverage,1254398.0,802445.0,63.97,BCG
COUNTRIES,PRY,Paraguay,2023.0,BCG,BCG,ADMIN,Administrative coverage,142485.0,93627.0,65.71,BCG
COUNTRIES,VEN,Venezuela (Bolivarian Republic of),2023.0,BCG,BCG,ADMIN,Administrative coverage,528194.0,353504.0,66.93,BCG
COUNTRIES,PHL,Philippines,2023.0,BCG,BCG,ADMIN,Administrative coverage,2187333.0,1464515.0,66.95,BCG
COUNTRIES,COG,Congo,2023.0,BCG,BCG,ADMIN,Administrative coverage,256018.0,171841.0,67.12,BCG
COUNTRIES,IDN,Indonesia,2023.0,BCG,BCG,ADMIN,Administrative coverage,4438677.0,3036525.0,68.41,BCG
COUNTRIES,ARG,Argentina,2023.0,BCG,BCG,ADMIN,Administrative coverage,494208.0,339846.0,68.77,BCG
COUNTRIES,GAB,Gabon,2023.0,BCG,BCG,ADMIN,Administrative coverage,84525.0,58561.0,69.28,BCG
COUNTRIES,BDI,Burundi,2023.0,BCG,BCG,ADMIN,Administrative coverage,615578.0,431149.0,70.04,BCG
COUNTRIES,ERI,Eritrea,2023.0,BCG,BCG,ADMIN,Administrative coverage,111830.0,79500.0,71.09,BCG
COUNTRIES,HND,Honduras,2023.0,BCG,BCG,ADMIN,Administrative coverage,201319.0,144505.0,71.78,BCG
COUNTRIES,COM,Comoros,2023.0,BCG,BCG,ADMIN,Administrative coverage,26101.0,18760.0,71.87,BCG
COUNTRIES,EST,Estonia,2023.0,BCG,BCG,ADMIN,Administrative coverage,11817.0,8537.0,72.24,BCG
COUNTRIES,BOL,Bolivia (Plurinational State of),2023.0,BCG,BCG,ADMIN,Administrative coverage,237693.0,175255.0,73.73,BCG
COUNTRIES,BWA,Botswana,2023.0,BCG,BCG,ADMIN,Administrative coverage,58489.0,43649.0,74.63,BCG
WB_LONG,WB_LONG_LIC,Low income,2023.0,BCG,BCG,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,25286085.0,19121319.0,76.0,BCG
