DISEASE,CODE,NAME,CASES
CRS,GLOBAL,Global,353.5925925925926
CRS,AFG,Afghanistan,262.5
CRS,IDN,Indonesia,210.66666666666666
CRS,SEAR,South-East Asia Region,159.76
CRS,BGD,Bangladesh,129.9090909090909
DIPHTHERIA,GLOBAL,Global,22032.113636363636
DIPHTHERIA,SEAR,South-East Asia Region,9602.022727272728
DIPHTHERIA,IND,India,7669.681818181818
DIPHTHERIA,EUR,European Region,3877.0454545454545
DIPHTHERIA,RUS,Russian Federation,3583.970588235294
INVASIVE_MENING,GLOBAL,Global,17264.5
INVASIVE_MENING,AFR,African Region,13060.0
INVASIVE_MENING,ETH,Ethiopia,12972.666666666666
INVASIVE_MENING,EUR,European Region,2213.0
INVASIVE_MENING,KEN,Kenya,1134.3333333333333
JAPENC,GLOBAL,Global,3416.1363636363635
JAPENC,WPR,Western Pacific Region,2283.6666666666665
JAPENC,CHN,China,1870.8333333333333
JAPENC,SEAR,South-East Asia Region,1546.909090909091
JAPENC,IND,India,1430.75
MEASLES,GLOBAL,Global,1091186.3181818181
MEASLES,AFR,African Region,438469.11363636365
MEASLES,WPR,Western Pacific Region,232058.81818181818
MEASLES,CHN,China,165552.68181818182
MEASLES,EUR,European Region,152568.61363636365
MUMPS,GLOBAL,Global,484211.08
MUMPS,WPR,Western Pacific Region,270311.52
MUMPS,CHN,China,256926.77777777778
MUMPS,JPN,Japan,95395.55
MUMPS,EUR,European Region,87409.6
NTETANUS,GLOBAL,Global,11392.318181818182
NTETANUS,AFR,African Region,3249.909090909091
NTETANUS,EMR,Eastern Mediterranean Region,3142.159090909091
NTETANUS,SEAR,South-East Asia Region,2916.659090909091
NTETANUS,IND,India,2252.75
PERTUSSIS,GLOBAL,Global,402174.7727272727
PERTUSSIS,WPR,Western Pacific Region,100914.0
PERTUSSIS,SEAR,South-East Asia Region,97493.97727272728
PERTUSSIS,IND,India,76252.51162790698
PERTUSSIS,AFR,African Region,75461.52272727272
POLIO,GLOBAL,Global,12297.40909090909
POLIO,SEAR,South-East Asia Region,7026.909090909091
POLIO,IND,India,6993.047619047619
POLIO,WPR,Western Pacific Region,1752.1162790697674
POLIO,EMR,Eastern Mediterranean Region,1678.590909090909
RUBELLA,GLOBAL,Global,205586.1851851852
RUBELLA,EUR,European Region,160485.6
RUBELLA,RUS,Russian Federation,102110.08
RUBELLA,CHN,China,29244.1
RUBELLA,WPR,Western Pacific Region,27355.2
TTETANUS,GLOBAL,Global,37026.34090909091
TTETANUS,SEAR,South-East Asia Region,17842.704545454544
TTETANUS,IND,India,13222.97619047619
TTETANUS,AFR,African Region,7682.727272727273
TTETANUS,EMR,Eastern Mediterranean Region,6046.318181818182
TYPHOID,AFR,African Region,1498844.8333333333
TYPHOID,COD,Democratic Republic of the Congo,1021246.0
TYPHOID,ETH,Ethiopia,1009802.0
TYPHOID,GLOBAL,Global,944029.1818181818
TYPHOID,AGO,Angola,636955.75
YFEVER,GLOBAL,Global,1005.1363636363636
YFEVER,AFR,African Region,839.9318181818181
YFEVER,NGA,Nigeria,621.5277777777778
YFEVER,AMR,Region of the Americas,164.95454545454547
YFEVER,COD,Democratic Republic of the Congo,121.91666666666667
