CODE,NAME,DISEASE,BASE_ANTIGEN,INTRO_YEAR,CASES_BEFORE,CASES_AFTER,ABS_CHANGE,PCT_CHANGE
AFR,African Region,MEASLES,MCV2,2000.0,718857.1,204812.45833333334,-514044.6416666666,-71.50859908967536
AFR,African Region,MEASLES,MCV2X2,2000.0,718857.1,204812.45833333334,-514044.6416666666,-71.50859908967536
AMR,Region of the Americas,MEASLES,MCV2,2000.0,124546.75,2546.3333333333335,-122000.41666666667,-97.95552004903112
AMR,Region of the Americas,MEASLES,MCV2X2,2000.0,124546.75,2546.3333333333335,-122000.41666666667,-97.95552004903112
BIH,Bosnia and Herzegovina,MEASLES,MCV1,1991.0,512.0,542.7142857142857,30.714285714285666,5.998883928571419
CZE,Czechia,MEASLES,MCV1,1991.0,2420.0,80.18181818181819,-2339.818181818182,-96.68670172802405
EMR,Eastern Mediterranean Region,MEASLES,MCV2,2000.0,147677.95,32690.333333333332,-114987.61666666668,-77.86376819739621
EMR,Eastern Mediterranean Region,MEASLES,MCV2X2,2000.0,147677.95,32690.333333333332,-114987.61666666668,-77.86376819739621
EUR,European Region,MEASLES,MCV2,2000.0,297253.65,31997.75,-265255.9,-89.23554008504185
EUR,European Region,MEASLES,MCV2X2,2000.0,297253.65,31997.75,-265255.9,-89.23554008504185
GLOBAL,Global,MEASLES,MCV2,2000.0,1917268.6,402784.4166666667,-1514484.1833333333,-78.9917585534616
GLOBAL,Global,MEASLES,MCV2X2,2000.0,1917268.6,402784.4166666667,-1514484.1833333333,-78.9917585534616
GUM,Guam,MEASLES,MCV1,1981.0,7.0,12.91891891891892,5.918918918918919,84.55598455598457
MAC,"China, Macao SAR",MEASLES,MCV1,1982.0,41.0,41.91891891891892,0.9189189189189193,2.241265655899803
MNP,Northern Mariana Islands,MEASLES,MCV1,1988.0,0.0,8.590909090909092,8.590909090909092,
NAM,Namibia,MEASLES,MCV1,1989.0,10678.0,1025.65625,-9652.34375,-90.39467831054505
NCL,New Caledonia,MEASLES,MCV1,1984.0,585.75,85.17857142857143,-500.57142857142856,-85.45820376806293
PLW,Palau,MEASLES,MCV1,1986.0,0.0,2.96875,2.96875,
PYF,French Polynesia,MEASLES,MCV1,1981.0,379.0,220.41935483870967,-158.58064516129033,-41.841858881606946
SEAR,South-East Asia Region,MEASLES,MCV2,2000.0,205105.2,58486.333333333336,-146618.86666666667,-71.48471451073237
SEAR,South-East Asia Region,MEASLES,MCV2X2,2000.0,205105.2,58486.333333333336,-146618.86666666667,-71.48471451073237
SRB,Serbia,MEASLES,MCV1,1981.0,37441.0,4148.697674418605,-33292.3023255814,-88.91937268123553
WPR,Western Pacific Region,MEASLES,MCV2,2000.0,423827.95,72251.20833333333,-351576.7416666667,-82.95270325297487
WPR,Western Pacific Region,MEASLES,MCV2X2,2000.0,423827.95,72251.20833333333,-351576.7416666667,-82.95270325297487
ABW,Aruba,POLIO,IPV2,2021.0,0.0,0.0,0.0,
AFG,Afghanistan,POLIO,IPV1,2014.0,373.1666666666667,50.333333333333336,-322.83333333333337,-86.51183564091113
AFG,Afghanistan,POLIO,IPV1_FRAC,2018.0,331.47058823529414,75.6,-255.87058823529415,-77.19254658385094
AFG,Afghanistan,POLIO,IPV2,2021.0,313.4864864864865,24.5,-288.9864864864865,-92.18467109233555
