CODE,NAME,FORECAST_NEXT_YEAR_TARGET
ABW,Aruba,1182.3333333333333
AFG,Afghanistan,1899603.0
AFR,African Region,36883732.75
AGO,Angola,1132330.3333333333
AIA,Anguilla,150.0
ALB,Albania,26193.0
AMR,Region of the Americas,13790646.25
AND,Andorra,
ARE,United Arab Emirates,79272.0
ARG,Argentina,618798.0
ARM,Armenia,34833.666666666664
ATG,Antigua and Barbuda,987.3333333333334
AUS,Australia,300534.6666666667
AUT,Austria,
AZE,Azerbaijan,123502.5
BDI,Burundi,468534.8333333333
BEL,Belgium,
BEN,Benin,387459.3333333333
BFA,Burkina Faso,833948.8333333334
BGD,Bangladesh,3311278.3333333335
BGR,Bulgaria,59780.0
BHR,Bahrain,17311.166666666668
BHS,Bahamas,3682.6666666666665
BIH,Bosnia and Herzegovina,27071.833333333332
BLR,Belarus,91768.5
BLZ,Belize,6662.666666666667
BMU,Bermuda,530.0
BOL,Bolivia (Plurinational State of),237141.33333333334
BRA,Brazil,2704473.3333333335
BRB,Barbados,2258.0
BRN,Brunei Darussalam,6371.666666666667
BTN,Bhutan,10500.666666666666
BWA,Botswana,62744.666666666664
CAF,Central African Republic,178824.66666666666
CAN,Canada,
CHE,Switzerland,
CHL,Chile,197711.5
CHN,China,11974437.5
CIV,Côte d'Ivoire,1072515.6666666667
CMR,Cameroon,928151.0
COD,Democratic Republic of the Congo,4224906.4
COG,Congo,240817.33333333334
COK,Cook Islands,222.0
COL,Colombia,675833.8333333334
COM,Comoros,20969.166666666668
CPV,Cabo Verde,8141.0
CRI,Costa Rica,61446.5
CUB,Cuba,110952.83333333333
CYM,Cayman Islands,798.1666666666666
CYP,Cyprus,9714.0
CZE,Czechia,42099.666666666664
DEU,Germany,405759.0
DEVELOPED_ECONOMY,Developed economy,10653141.166666666
DEVELOPING,Developing,82615288.0
DJI,Djibouti,19542.4
DMA,Dominica,745.6666666666666
DNK,Denmark,62888.833333333336
DOM,Dominican Republic,187564.33333333334
DZA,Algeria,953640.5
ECONOMY_IN_TRANSITION,Economy in transition,4277834.833333333
ECU,Ecuador,299439.3333333333
EGY,Egypt,2174337.6666666665
EMR,Eastern Mediterranean Region,18512056.5
ERI,Eritrea,102141.66666666667
ESP,Spain,364988.3333333333
EST,Estonia,14682.166666666666
ETH,Ethiopia,3335022.3333333335
EUR,European Region,10592085.875
FIN,Finland,
FJI,Fiji,17667.75
FRA,France,
FSM,Micronesia (Federated States of),3534.0
GAB,Gabon,77165.66666666667
GAVI_PHASE5_NO,Gavi 5.0 no,56540528.25
GAVI_PHASE5_YES,Gavi 5.0 yes,75064697.75
GBR,United Kingdom of Great Britain and Northern Ireland,764510.3333333334
GEO,Georgia,43345.166666666664
GHA,Ghana,1227156.0
GIN,Guinea,480063.2
GLOBAL,Global,131605226.0
GMB,Gambia,83948.16666666667
GNB,Guinea-Bissau,66438.6
GNQ,Equatorial Guinea,24730.333333333332
GRC,Greece,
GRD,Grenada,1521.0
GTM,Guatemala,343660.3333333333
GUM,Guam,2079.0
GUY,Guyana,14684.0
HKG,"China, Hong Kong SAR",56127.0
HND,Honduras,198430.66666666666
HRV,Croatia,35689.666666666664
HTI,Haiti,267762.5
HUN,Hungary,88835.66666666667
IDN,Indonesia,4297716.833333333
IND,India,26370157.666666668
IRL,Ireland,61615.6
IRN,Iran (Islamic Republic of),1094008.6666666667
IRQ,Iraq,1073504.0
ISL,Iceland,4992.333333333333
ISR,Israel,155833.75
ITA,Italy,447185.8333333333
JAM,Jamaica,33098.333333333336
JOR,Jordan,190489.5
JPN,Japan,964755.8333333334
KAZ,Kazakhstan,338712.3333333333
KEN,Kenya,1550471.1666666667
KGZ,Kyrgyzstan,149535.33333333334
KHM,Cambodia,347134.3333333333
KIR,Kiribati,3212.5
KNA,Saint Kitts and Nevis,624.8333333333334
KOR,Republic of Korea,357397.3333333333
KWT,Kuwait,51822.0
LAO,Lao People's Democratic Republic,150457.33333333334
LBN,Lebanon,104119.0
LBR,Liberia,186054.0
LBY,Libya,252976.16666666666
LCA,Saint Lucia,1792.8333333333333
LEAST_DEVELOPED,Least developed,33688110.666666664
LKA,Sri Lanka,295777.3333333333
LSO,Lesotho,31657.0
LTU,Lithuania,28302.333333333332
LUX,Luxembourg,
LVA,Latvia,19343.666666666668
MAC,"China, Macao SAR",5488.666666666667
MAR,Morocco,
MCO,Monaco,
MDA,Republic of Moldova,38242.0
