CODE,NAME,YEAR,MEAS_COV,CASES
ABW,Aruba,2018.0,90.0,0.0
ABW,Aruba,2019.0,90.0,1.0
ABW,Aruba,2021.0,85.155,0.0
ABW,Aruba,2022.0,87.305,0.0
ABW,Aruba,2023.0,87.16499999999999,0.0
AFG,Afghanistan,2018.0,65.99833333333333,2012.0
AFG,Afghanistan,2019.0,58.0,353.0
AFG,Afghanistan,2020.0,59.376666666666665,640.0
AFG,Afghanistan,2021.0,57.626666666666665,2900.0
AFG,Afghanistan,2022.0,62.79666666666666,5166.0
AFG,Afghanistan,2023.0,62.06333333333333,2792.0
AFR,African Region,2018.0,40.0,125426.0
AFR,African Region,2019.0,45.666666666666664,618595.0
AFR,African Region,2020.0,49.333333333333336,115368.0
AFR,African Region,2021.0,49.333333333333336,88760.0
AFR,African Region,2022.0,52.333333333333336,97230.0
AFR,African Region,2023.0,59.5,424433.0
AGO,Angola,2018.0,50.166666666666664,57.0
AGO,Angola,2019.0,57.86666666666667,2987.0
AGO,Angola,2020.0,52.38999999999999,1085.0
AGO,Angola,2021.0,44.61333333333334,300.0
AGO,Angola,2022.0,47.333333333333336,3271.0
AGO,Angola,2023.0,58.64666666666667,3508.0
AIA,Anguilla,2018.0,77.0,0.0
AIA,Anguilla,2019.0,78.0,0.0
AIA,Anguilla,2020.0,74.95,0.0
AIA,Anguilla,2021.0,73.7375,0.0
AIA,Anguilla,2022.0,76.3475,0.0
AIA,Anguilla,2023.0,71.015,0.0
ALB,Albania,2018.0,95.12333333333333,1469.0
ALB,Albania,2019.0,95.55,488.0
ALB,Albania,2020.0,92.52999999999999,4.0
ALB,Albania,2021.0,89.3175,0.0
ALB,Albania,2022.0,89.3875,1.0
ALB,Albania,2023.0,88.07833333333333,13.0
AMR,Region of the Americas,2018.0,68.33333333333333,16714.0
AMR,Region of the Americas,2019.0,61.333333333333336,21971.0
AMR,Region of the Americas,2020.0,61.0,9996.0
AMR,Region of the Americas,2021.0,62.333333333333336,682.0
AMR,Region of the Americas,2022.0,62.333333333333336,47.0
AMR,Region of the Americas,2023.0,80.0,14.0
AND,Andorra,2018.0,97.0575,0.0
AND,Andorra,2019.0,97.2425,0.0
AND,Andorra,2020.0,95.66499999999999,0.0
AND,Andorra,2021.0,97.9375,0.0
AND,Andorra,2022.0,96.89,0.0
AND,Andorra,2023.0,97.5,0.0
ARE,United Arab Emirates,2018.0,98.5,172.0
ARE,United Arab Emirates,2019.0,98.25,187.0
ARE,United Arab Emirates,2020.0,95.75999999999999,50.0
ARE,United Arab Emirates,2021.0,96.425,35.0
ARE,United Arab Emirates,2022.0,95.126,98.0
ARE,United Arab Emirates,2023.0,94.77,484.0
ARG,Argentina,2018.0,97.16666666666667,14.0
ARG,Argentina,2019.0,85.0,130.0
ARG,Argentina,2020.0,74.23833333333333,69.0
ARG,Argentina,2021.0,82.71,0.0
ARG,Argentina,2022.0,89.43333333333334,2.0
ARG,Argentina,2023.0,66.91333333333334,0.0
ARM,Armenia,2018.0,95.5,19.0
ARM,Armenia,2019.0,95.5,7.0
ARM,Armenia,2020.0,94.28833333333334,0.0
ARM,Armenia,2021.0,93.99000000000001,0.0
ARM,Armenia,2022.0,94.44,0.0
ARM,Armenia,2023.0,95.91666666666667,554.0
ATG,Antigua and Barbuda,2018.0,95.5,1.0
ATG,Antigua and Barbuda,2019.0,84.83333333333333,0.0
ATG,Antigua and Barbuda,2020.0,84.595,0.0
ATG,Antigua and Barbuda,2021.0,80.39666666666666,0.0
ATG,Antigua and Barbuda,2022.0,96.81833333333333,0.0
ATG,Antigua and Barbuda,2023.0,90.495,0.0
AUS,Australia,2018.0,93.485,103.0
AUS,Australia,2019.0,93.795,286.0
AUS,Australia,2020.0,93.84,25.0
AUS,Australia,2021.0,93.37333333333333,0.0
AUS,Australia,2022.0,93.62666666666667,7.0
AUS,Australia,2023.0,92.04333333333334,26.0
AUT,Austria,2018.0,88.825,77.0
AUT,Austria,2019.0,91.25,151.0
AUT,Austria,2020.0,91.51,25.0
AUT,Austria,2021.0,98.18,1.0
AUT,Austria,2022.0,94.425,1.0
AUT,Austria,2023.0,94.5,186.0
AZE,Azerbaijan,2018.0,96.0,55.0
AZE,Azerbaijan,2019.0,97.2,281.0
AZE,Azerbaijan,2020.0,80.56,2.0
AZE,Azerbaijan,2021.0,91.52666666666669,0.0
AZE,Azerbaijan,2022.0,91.75166666666667,1.0
AZE,Azerbaijan,2023.0,94.65333333333335,13207.0
BDI,Burundi,2018.0,82.49833333333333,9.0
